id,userId,mountainKo,mountainEn,kind,stampedAt
seed-daedunsan,demo-user,대둔산,Daedunsan,peak,2026-06-28T02:00:00.000Z
seed-seonunsan,demo-user,선운산,Seonunsan,temple,2026-07-02T02:00:00.000Z
seed-moaksan,demo-user,모악산,Moaksan,peak,2026-07-05T02:00:00.000Z
seed-naejangsan,demo-user,내장산,Naejangsan,peak,2026-07-09T02:00:00.000Z
seed-myeongjisan,demo-user,명지산,Myeongjisan,peak,2026-07-11T02:00:00.000Z
seed-u2-1,u2,설악산,Seoraksan,peak,2026-04-12T01:00:00.000Z
seed-u2-2,u2,오대산,Odaesan,temple,2026-04-20T01:00:00.000Z
seed-u2-3,u2,북한산,Bukhansan,peak,2026-05-03T01:00:00.000Z
seed-u2-4,u2,치악산,Chiaksan,peak,2026-05-18T01:00:00.000Z
seed-u3-5,u3,지리산,Jirisan,peak,2026-05-09T01:00:00.000Z
seed-u3-6,u3,무등산,Mudeungsan,peak,2026-05-22T01:00:00.000Z
seed-u3-7,u3,내장산,Naejangsan,peak,2026-06-02T01:00:00.000Z
seed-u3-8,u3,백암산,Baegamsan,peak,2026-06-15T01:00:00.000Z
seed-u3-9,u3,대둔산,Daedunsan,peak,2026-07-01T01:00:00.000Z
seed-u4-10,u4,한라산,Hallasan,peak,2026-04-28T01:00:00.000Z
seed-u4-11,u4,두륜산,Duryunsan,temple,2026-05-11T01:00:00.000Z
seed-u4-12,u4,무등산,Mudeungsan,peak,2026-06-07T01:00:00.000Z
seed-u5-13,u5,북한산,Bukhansan,peak,2026-03-15T01:00:00.000Z
seed-u5-14,u5,도봉산,Dobongsan,peak,2026-03-29T01:00:00.000Z
seed-u5-15,u5,속리산,Songnisan,temple,2026-04-09T01:00:00.000Z
seed-u5-16,u5,계룡산,Gyeryongsan,temple,2026-04-25T01:00:00.000Z
seed-u5-17,u5,명지산,Myeongjisan,peak,2026-05-17T01:00:00.000Z
seed-u6-18,u6,팔공산,Palgongsan,peak,2026-05-05T01:00:00.000Z
seed-u6-19,u6,가야산,Gayasan,peak,2026-05-26T01:00:00.000Z
seed-u6-20,u6,지리산,Jirisan,peak,2026-06-14T01:00:00.000Z
seed-u7-21,u7,선운산,Seonunsan,temple,2026-03-22T01:00:00.000Z
seed-u7-22,u7,내장산,Naejangsan,peak,2026-04-06T01:00:00.000Z
seed-u7-23,u7,모악산,Moaksan,peak,2026-04-19T01:00:00.000Z
seed-u7-24,u7,대둔산,Daedunsan,peak,2026-05-02T01:00:00.000Z
seed-u7-25,u7,백암산,Baegamsan,peak,2026-05-20T01:00:00.000Z
seed-u8-26,u8,설악산,Seoraksan,peak,2026-06-10T01:00:00.000Z
seed-u8-27,u8,오대산,Odaesan,peak,2026-06-24T01:00:00.000Z
seed-u8-28,u8,방태산,Bangtaesan,peak,2026-07-03T01:00:00.000Z
seed-u9-29,u9,무등산,Mudeungsan,peak,2026-04-14T01:00:00.000Z
seed-u9-30,u9,지리산,Jirisan,peak,2026-05-01T01:00:00.000Z
seed-u9-31,u9,한라산,Hallasan,peak,2026-05-28T01:00:00.000Z
seed-u9-32,u9,계룡산,Gyeryongsan,temple,2026-06-09T01:00:00.000Z
seed-u10-33,u10,북한산,Bukhansan,peak,2026-05-07T01:00:00.000Z
seed-u10-34,u10,설악산,Seoraksan,peak,2026-06-01T01:00:00.000Z
seed-u10-35,u10,내장산,Naejangsan,peak,2026-06-19T01:00:00.000Z
seed-u10-36,u10,대둔산,Daedunsan,peak,2026-07-05T01:00:00.000Z
seed-u10-37,u10,명지산,Myeongjisan,peak,2026-07-09T01:00:00.000Z
6f6676bf-63c8-4e73-95df-ca4d442a0182,demo-user,가리산,Garisan,peak,2026-07-12T07:29:21.078Z
